Ticker,Composite Score,Composite Rank,Momentum Z-Score,Value Z-Score,Quality Z-Score,Low-Volatility Z-Score,Target Weight
XOM,0.882,1.0,0.0056,1.5714,0.8697,1.0814,0.0667
CVX,0.7901,2.0,-0.1114,1.3378,0.808,1.1261,0.0667
JNJ,0.5317,3.0,1.4018,-0.3206,-0.1202,1.1659,0.0667
NFLX,0.4727,4.0,0.2946,1.921,0.9609,-1.2856,0.0667
MRK,0.3661,5.0,-0.3602,1.0661,0.9156,-0.1574,0.0667
COP,0.3553,6.0,-0.7369,1.8347,0.6323,-0.3089,0.0667
BAC,0.3445,7.0,0.3797,1.921,-1.6296,0.7069,0.0667
AAPL,0.3075,8.0,-0.0931,-0.8399,1.0929,1.0702,0.0667
MSFT,0.2998,9.0,0.0202,-0.7695,1.0702,0.8783,0.0667
DIS,0.237,10.0,-0.7467,1.3016,0.2388,0.1545,0.0667
LOW,0.2294,11.0,-0.5275,0.9682,0.0033,0.4734,0.0667
NEE,0.217,12.0,0.3294,0.2744,-0.5307,0.7949,0.0667
JPM,0.2168,13.0,0.7503,1.3338,-1.6078,0.391,0.0667
MCD,0.2078,14.0,-0.329,-0.1794,0.2348,1.1048,0.0667
CSCO,0.1973,15.0,0.7524,-0.12,-0.2477,0.4045,0.0667
